	Topic	Top-Words	Word2Vec labels
10	10	['voir', 'venir', 'homme', 'arriver', 'apprendre', 'ville', 'vivre', 'jour', 'écrier', 'prendre', 'fille', 'rendre', 'trouver', 'ciel', 'jeune', 'reprendre', 'point', 'femme', 'grand', 'moment']	[('apprendre', 0.5958922505378723), ('arriver', 0.5669416189193726), ('jeune', 0.535213053226471), ('venir', 0.5230118036270142), ('emmener', 0.5212593078613281), ('apercevoir', 0.49787941575050354), ('partir', 0.48100125789642334), ('quand', 0.4767465591430664), ('surprendre', 0.4736899733543396), ('réconforter', 0.4676806926727295)]
11	11	['mort', 'voir', 'main', 'mourir', 'œil', 'affreux', 'douleur', 'malheureux', 'coup', 'sang', 'vie', 'tomber', 'encore', 'ciel', 'bras', 'cruel', 'venir', 'larme', 'horreur', 'cri']	[('larme', 0.6452723741531372), ('pleurer', 0.5722194314002991), ('pleur', 0.520294189453125), ('malheureux', 0.49011456966400146), ('affreux', 0.4827359616756439), ('agonie', 0.4826540946960449), ('trembler', 0.48083800077438354), ('malheur', 0.4797445833683014), ('désespoir', 0.476538747549057), ('douleur', 0.4752357602119446)]
12	12	['homme', 'nature', 'loi', 'dieu', 'vertu', 'crime', 'jamais', 'croire', 'seul', 'religion', 'vice', 'devenir', 'action', 'principe', 'mal', 'femme', 'chose', 'voilà', 'servir', 'toujours']	[('chose', 0.5038361549377441), ('vertu', 0.4846862554550171), ('croire', 0.4687468409538269), ('homme', 0.39667728543281555), ('savoir', 0.39649859070777893), ('tout', 0.3938134014606476), ('esprit', 0.3932926654815674), ('ce', 0.39290279150009155), ('dieu', 0.3903454542160034), ('ne', 0.3879414200782776)]
13	13	['livre', 'homme', 'grand', 'auteur', 'ouvrage', 'candide', 'lire', 'temps', 'pays', 'donner', 'histoire', 'siècle', 'esprit', 'monde', 'ancien', 'gens', 'public', 'roman', 'écrire', 'parler']	[('livre', 0.6135926842689514), ('écrire', 0.5880260467529297), ('ouvrage', 0.5788871645927429), ('auteur', 0.5613051652908325), ('littérature', 0.5116296410560608), ('paraître', 0.5093603730201721), ('roman', 0.5063164234161377), ('lire', 0.47579899430274963), ('histoire', 0.4650559425354004), ('littéraire', 0.4549810588359833)]
14	14	['amour', 'amant', 'beau', 'berger', 'berger|bergère', 'fleur', 'jeune', 'venir', 'aimer', 'doux', 'œil', 'encore', 'princesse', 'donner', 'tendre', 'dieu', 'plaisir', 'cœur', 'main', 'oiseau']	[('amour', 0.5686441659927368), ('aimer', 0.5663589835166931), ('amant', 0.4903313219547272), ('heureux', 0.4808012545108795), ('berger', 0.4681636691093445), ('bonheur', 0.4599328637123108), ('pleurer', 0.4405413866043091), ('adorer', 0.4332401752471924), ('éprendre', 0.429161012172699), ('tendresse', 0.42582833766937256)]
15	15	['femme', 'voir', 'savoir', 'homme', 'croire', 'là', 'chose', 'trouver', 'parler', 'plaisir', 'aimer', 'bon', 'toujours', 'suivre|être', 'monde', 'beaucoup', 'beau', 'grand', 'ami', 'penser']	[('aimer', 0.6868098974227905), ('savoir', 0.6707218885421753), ('chose', 0.6694638133049011), ('croire', 0.6618140935897827), ('penser', 0.6352031230926514), ('rien', 0.627638578414917), ('je', 0.6002904176712036), ('moi', 0.5791106224060059), ('bien', 0.5675129890441895), ('que', 0.5669588446617126)]
16	16	['beau', 'œil', 'voir', 'air', 'petit', 'grand', 'figure', 'paraître', 'beauté', 'grâce', 'jeune', 'regard', 'donner', 'musique', 'trait', 'placer', 'blanc', 'couleur', 'tableau', 'portrait']	[('portrait', 0.5143951177597046), ('beauté', 0.4768897593021393), ('regard', 0.44847530126571655), ('visage', 0.44028109312057495), ('peindre', 0.43997323513031006), ('oeil', 0.42601147294044495), ('tableau', 0.4238465130329132), ('drapé', 0.4198876619338989), ('chatoyant', 0.41634681820869446), ('trait', 0.41590356826782227)]
17	17	['comte', 'durut', 'bon', 'marquise', 'petit', 'beau', 'duchesse', 'chevalier', 'mettre', 'dame', 'fort', 'monseigneur', 'encore', 'cependant', 'moment', 'baiser', 'joli', 'ci', 'déjà', 'prince']	[('duchesse', 0.5767982006072998), ('marquise', 0.5311692953109741), ('comtesse', 0.5198674201965332), ('duc', 0.47212037444114685), ('comte', 0.4651685655117035), ('princesse', 0.45534831285476685), ('dame', 0.44895923137664795), ('baronne', 0.44047755002975464), ('chambellan', 0.4360921382904053), ('montespan', 0.4292139410972595)]
18	18	['point', 'savoir', 'cœur', 'croire', 'moins', 'jamais', 'rendre', 'vertu', 'seul', 'raison', 'encore', 'aimer', 'amour', 'craindre', 'oser', 'honneur', 'suivre|être', 'connaître', 'mal', 'tant']	[('aimer', 0.640285849571228), ('croire', 0.6352665424346924), ('savoir', 0.6076273918151855), ('jamais', 0.591819703578949), ('que', 0.5889994502067566), ('rien', 0.577041506767273), ('ne', 0.5748834609985352), ('chose', 0.5559280514717102), ('pas', 0.5532948970794678), ('oser', 0.5455926656723022)]
19	19	['terre', 'eau', 'arbre', 'soleil', 'montagne', 'mer', 'lieu', 'île', 'grand', 'nature', 'bois', 'trouver', 'couvrir', 'petit', 'pied', 'rocher', 'fruit', 'forêt', 'vent', 'autour']	[('arbre', 0.45237064361572266), ('rocher', 0.4320955276489258), ('forêt', 0.4315992593765259), ('montagne', 0.42477959394454956), ('vent', 0.3879750370979309), ('escarpé', 0.38706982135772705), ('soleil', 0.38635146617889404), ('environnant', 0.3832052946090698), ('rivage', 0.38174307346343994), ('mer', 0.3775878846645355)]
